Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
06/11/2024,R & D Purchase Of Weather Information & Weather-related Services,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Met Office,632935,283333.33,Dsit - Space Weather Service-r & D Purchase Of Weather Information & Weather-related Services,Ex1 3pb,Wga Only
06/11/2024,R & D Purchase Of Weather Information & Weather-related Services,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Met Office,632936,1800416.67,Dsit - Hadley Centre-r & D Purchase Of Weather Information & Weather-related Services,Ex1 3pb,Wga Only
08/11/2024,Nca - Additions - Other Loans - Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Npl Management Ltd,633777,353677.99,Dsit - Nms Npl Funding Activities-nca - Additions - Other Loans - Public Corporations,Tw11 0lw,Vendor
15/11/2024,Clearing Account - Cost - Assets Under Construction - Freehold Building,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Npl Management Ltd,635372,219738.94,Dsit - Nms - Npl Buildings And Infrastructre (Sci-ringfence)-Clearing Account - Cost - Assets Under Construction - Freehold Building,Tw11 0lw,Vendor
11/11/2024,It Software Licences And Software Maintenance,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Diligent Boardbooks Ltd,634013,53676,Dsit - Devolved Admin-it Software Licences And Software Maintenance,Wc2e 9es,Vendor
12/11/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Coventry City Council,634438,62158.94,Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,Cv1 5rr,Wga Only
25/11/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Powys County Council,637384,70002.39,Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,Ld1 5lg,Vendor
25/11/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Civil Aviation Authority,637386,35234.3,Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,Rh6 0yr,Vendor
27/11/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Financial Reporting Council,638651,67960.45,Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,Ec2y 5as,Grant
28/11/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Mhra -  Medicines And Healthcare Products Regulatory Agency,639236,39542.71,Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,E14 4pu,Wga Only
28/11/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Tameside Metropolitan Borough Council,639237,25933.61,Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,Ol6 0gs,Grant
29/11/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",(Sepa) Scottish Environment Protection Agency,639352,41885.68,Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,Ml1 4wq,Wga Only
29/11/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Milton Keynes Council,639371,32519.32,Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,Mk9 3ej,Grant
05/11/2024,Res - Npf - Agencies - General Fund,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Uk Space Agency,632966,18500000,Dsit - Uk Space Agency - Supply Funding-res - Npf - Agencies - General Fund,Sn2 1sz,Wga Only
15/11/2024,Other Professional Services,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Crisp Thinking (Uk) Ltd,632941,56736,Dsit - Security Team Nsoit & Tech Programme-other Professional Services,Ls1 4ol,Vendor
29/11/2024,Cl - Cash Cfers Paid Over To Hmt,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Consolidated Fund Account 6622,639734,17657641.69,Dsit- Ofcom Cfer Receipts - Central-cl - Cash Cfers Paid Over To Hmt,Rh10 1uh,Wga Only
