Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
30/09/2024,Clearing Account   - Cost - Computer Equipment,Dsit - Corporate Services - Dsit - Ics Recharges,Dell Corporation Ltd,622286,"£49,080.00",Dsit - Digital Infrastructure And Maintenance-clearing Account   - Cost - Computer Equipment,Rg12 1rd,Vendor
30/09/2024,Clearing Account   - Cost - Computer Equipment,Dsit - Corporate Services - Dsit - Ics Recharges,Dell Corporation Ltd,622318,"£49,080.00",Dsit - Digital Infrastructure And Maintenance-clearing Account   - Cost - Computer Equipment,Ec3a 5af,Vendor
19/09/2024,Consultancy Expenditure,Dsit - Digital And Technology Group - Dsit - International,Silicon Catalyst Uk Ltd,622083,"£47,233.00",Dsit - Esu - Semis - Programme-consultancy Expenditure,Sw1p 2pn,Vendor
10/09/2024,Grant-in-aid To Arms Length Bodies,Dsit - Digital And Technology Group - Dsit - Digital Economy And Data Policy,Information Commissioners Office,620131,"£2,900,000.00",Dsit - Ico Grant In Aid Funding-grant-in-aid To Arms Length Bodies,Sk9 5af,Vendor
25/09/2024,Conference And Exhibition Services,Dsit - Digital And Technology Group - Dsit - International,Commonwealth Telecommunications Organisation,623250,"£25,000.00",Dsit - Trigs - Itu & Internet Governance - Programme-conference And Exhibition Services,W6 0lr,Grant
17/09/2024,Uk Subscriptions 2,Dsit - Digital And Technology Group - Dsit - International,Financial Times Ltd (The),621362,"£63,867.00",Dsit - Directors Of International Admin-uk Subscriptions 2,Ec4m 9bt,Vendor
09/09/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,619245,"£50,550.00",Dsit - Matrix Admin-other Professional Services,E1 1ew,Vendor
10/09/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,619246,"£52,920.00",Dsit - Matrix Admin-other Professional Services,E1 1ew,Vendor
09/09/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,619247,"£51,600.00",Dsit - Matrix Admin-other Professional Services,E1 1ew,Vendor
09/09/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,619248,"£144,150.00",Dsit - Matrix Admin-other Professional Services,E1 1ew,Vendor
09/09/2024,Technical Advice / Services & Support,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,619264,"£155,580.00",Dsit - Matrix Admin-technical Advice / Services & Support,E1 1ew,Vendor
19/09/2024,External Legal Advice And Service,Dsit - Corporate Services - Dsit - Matrix Directorate,Dac Beachcroft Llp,621197,"£53,489.44",Dsit - Matrix Admin-external Legal Advice And Service,Ec4a 1bn,Vendor
