Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
28/03/2024,R&D Laboratory Services,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,584267,1471083.33,Dsit - Nms - Npl Advanced Manufacturing-r&D Laboratory Services,Tw11 0lw,Vendor
07/03/2024,R & D External Legal Advice And Services,"Dsit - Science, Innovation And Growth - Dsit - Government Office For Science",Government Legal Department,576878,28868.86,Dsit - Covid Inquiry-r & D External Legal Advice And Services,Sw1h 9gl,Vendor
01/03/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Mhra -  Medicines And Healthcare Products Regulatory Agency,575517,26434.63,Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,E14 4pu,Wga Only
05/03/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Environment Agency,576105,47910,Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,Pe2 8yd,Wga Only
05/03/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Coventry City Council,576107,41771.85,Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,Cv1 5rr,Wga Only
06/03/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",West Midlands Combined Authority,576598,35677,Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,B19 3sd,Grant
08/03/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Milton Keynes Council,577371,52161.29,Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,Mk9 3ej,Grant
15/03/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",National Centre For Social Research (Natcen),579027,49800.12,Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,Ec1v 0ax,Vendor
26/03/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Civil Aviation Authority,583712,46244.58,Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,Rh6 0yr,Vendor
26/03/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Environment Agency,583715,47608,Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,Pe2 8yy,Wga Only
26/03/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Tameside Metropolitan Borough Council,583789,28895.22,Dsit - Bre - Regulators Pioneer Fund-r & D Current Grants To Central Government,Ol6 0gs,Grant
05/03/2024,Hire Of Interim Managers,Dsit - Digital And Technology Group - Dsit - Dtg Central,Alexander Mann Solutions Ltd,548546,238790.34,Dsit - Corporate Services Admin-hire Of Interim Managers,Ec2n 3aq,Vendor
05/03/2024,Hire Of Interim Managers,Dsit - Digital And Technology Group - Dsit - Dtg Central,Alexander Mann Solutions Ltd,550187,111553.13,Dsit - Corporate Services Admin-hire Of Interim Managers,Ec2n 3aq,Vendor
05/03/2024,Hire Of Interim Managers,Dsit - Digital And Technology Group - Dsit - Dtg Central,Alexander Mann Solutions Ltd,551642,218423.88,Dsit - Corporate Services Admin-hire Of Interim Managers,Ec2n 3aq,Vendor
13/03/2024,Other Staff Costs,"Dsit - Science, Innovation And Growth - Dsit - Space",Uk Government Investments (Ukgi),576112,496800,Dsit - Devolved Admin-other Staff Costs,Nr7 0hs,Vendor
07/03/2024,External Legal Advice And Service,"Dsit - Science, Innovation And Growth - Dsit - Space",Supplier name withheld,576872,25730.94,Financial Advice and Services,Ec2y 9ss,Vendor
07/03/2024,External Legal Advice And Service,"Dsit - Science, Innovation And Growth - Dsit - Space",Supplier name withheld,576873,58762.32,Financial Advice and Services,Ec2y 9ss,Vendor
07/03/2024,External Legal Advice And Service,"Dsit - Science, Innovation And Growth - Dsit - Space",Supplier name withheld,576886,35498.96,Financial Advice and Services,Ec2y 9ss,Vendor
13/03/2024,Capital Grants To Private Sector - Companies,"Dsit - Science, Innovation And Growth - Dsit - Office For Life Sciences",Croda Europe Ltd,578949,3880435.05,Dsit - Vtf - Project Croda-capital Grants To Private Sector - Companies,Dn14 9aa,Vendor
07/03/2024,Technical Advice / Services & Support,Dsit - Corporate Services - Dsit - Commercial,Cabinet Office,574134,34492.08,Dsit - Corporate Services Admin-technical Advice / Services & Support,Fy1 9jn,Wga Only
06/03/2024,Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Ipsos (Market Research) Ltd,576544,37670,Dsit - Breaches-longitudinal-captains-research And Development Expenditure,E1w 1yw,Vendor
06/03/2024,Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Ipsos (Market Research) Ltd,576566,309690,Dsit - Breaches-longitudinal-captains-research And Development Expenditure,E1w 1yw,Vendor
12/03/2024,Other Professional Services,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Department Of Finance,578106,67500,Dsit - Res Policy Development Prog-other Professional Services,Bt1 4nn,Vendor
