Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
05/06/2024,Capital Grants To Private Sector - Persons & Npish,"Dsit - Science, Innovation And Growth - Dsit - Office For Life Sciences",Almac Sciences Ltd,600483,2000000,Dsit - Life Sciences Innovative Manufacturing Fund-capital Grants To Private Sector - Persons & Npish,Bt63 5qd,Grant
12/06/2024,Capital Grants To Private Sector - Persons & Npish,"Dsit - Science, Innovation And Growth - Dsit - Office For Life Sciences",Lonza Biologics Plc,602220,13000000,Dsit - Life Sciences Innovative Manufacturing Fund-capital Grants To Private Sector - Persons & Npish,Sl1 4dx,Vendor
05/06/2024,Other Professional Services,Dsit - Digital And Technology Group - Dsit - Digital Economy And Data Policy,Technopolis Ltd,600385,27990,Dsit - Digital Tech Nrf-other Professional Services,Bn1 1ee,Vendor
14/06/2024,Grant-in-aid To Arms Length Bodies,Dsit - Digital And Technology Group - Dsit - Digital Economy And Data Policy,Information Commissioners Office,602754,3650000,Dsit - Ico Grant In Aid Funding-grant-in-aid To Arms Length Bodies,Sk9 5af,Vendor
14/06/2024,Grant-in-aid To Arms Length Bodies,Dsit - Digital And Technology Group - Dsit - Digital Economy And Data Policy,Information Commissioners Office,602755,170000,Dsit - Ico Grant In Aid Funding-grant-in-aid To Arms Length Bodies,Sk9 5af,Vendor
28/06/2024,Consultancy Expenditure,Dsit - Digital And Technology Group - Dsit - International,National Cyber Security Centre (Ncsc),605570,157897.5,Dsit - Trigs - Itu & Internet Governance - Programme-consultancy Expenditure,Gl51 0ex,Vendor
12/06/2024,Other It Consultancy,Dsit - Chief Scientific Adviser - Dsit - Csa Dg Office,Alexander Mann Solutions Ltd,601593,37800,Dsit - Corporate Services Admin-other It Consultancy,Ec2m 5tq,Vendor
04/06/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Cabinet Office,591917,93000,Dsit - Corporate Services Admin-other Professional Services,Np10 8fz,Wga Only
12/06/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,594698,51900,Dsit - Corporate Services Admin-other Professional Services,E1 1ew,Vendor
12/06/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,594699,33840,Dsit - Matrix Admin-other Professional Services,E1 1ew,Vendor
24/06/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,594700,84480,Dsit - Matrix Admin-other Professional Services,E1 1ew,Vendor
12/06/2024,Consultancy Expenditure,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,594701,39540,Dsit - Corporate Services Admin-consultancy Expenditure,E1 1ew,Vendor
18/06/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,594702,53280,Dsit - Matrix Admin-other Professional Services,E1 1ew,Vendor
12/06/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,594703,87240,Dsit - Corporate Services Admin-other Professional Services,E1 1ew,Vendor
12/06/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,594704,166140,Dsit - Matrix Admin-other Professional Services,E1 1ew,Vendor
18/06/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Veran Performance Ltd,598844,51004.8,Dsit - Corporate Services Admin-other Professional Services,Kt8 9ju,Vendor
26/06/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,601594,40320,Dsit - Matrix Admin-other Professional Services,E1 1ew,Vendor
18/06/2024,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Tpximpact Ltd,601936,54390,Dsit - Matrix Admin-other Professional Services,E1 1ew,Vendor
