Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
04/10/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Fera Science Ltd,625366,289252.81,Dsit - Psre Infrastructure Fund - Other-r & D Current Grants To Private Sector - Npish,Dl1 9hn,Vendor
14/10/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Centre For Process Innovation Ltd,627294,287023.57,Dsit - Psre Infrastructure Fund - Other-r & D Current Grants To Private Sector - Npish,Ts10 4rf,Grant
15/10/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Mhra -  Medicines And Healthcare Products Regulatory Agency,627557,149685.6,Dsit - Psre Infrastructure Fund - Other-r & D Current Grants To Central Government,Sw1w 9sz,Wga Only
15/10/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,627572,168893.6,Dsit - Psre Infrastructure Fund - Npl-r&D Current Grants To Public Corporations,Tw11 0lw,Vendor
15/10/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Niab.,627587,500540.91,Dsit - Psre Infrastructure Fund - Other-r & D Current Grants To Private Sector - Npish,Cb3 0le,Vendor
16/10/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Health And Safety Executive,627921,650832,Dsit - Psre Infrastructure Fund - Other-r & D Current Grants To Private Sector - Npish,Sk17 9jn,Vendor
18/10/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",The National Archives,628602,75654.49,Dsit - Psre Infrastructure Fund - Other-r & D Current Grants To Central Government,Tw9 4du,Wga Only
22/10/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Cfms Services Ltd,629372,275796,Dsit - Psre Infrastructure Fund - Other-r & D Current Grants To Private Sector - Npish,Bs16 7fr,Vendor
22/10/2024,R&D Current Grants To Public Corporations,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,629407,120521.5,Dsit - Psre Infrastructure Fund - Npl-r&D Current Grants To Public Corporations,Tw11 0lw,Vendor
25/10/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Npl Management Ltd,630245,782208.85,Dsit - Psre Infrastructure Fund - Npl-r & D Current Grants To Central Government,Tw11 0lw,Vendor
28/10/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Glass Futures Ltd,630601,39784.15,Dsit - Psre Infrastructure Fund - Other-r & D Current Grants To Private Sector - Npish,S35 2py,Vendor
28/10/2024,R & D Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Moredun Research Institute,630621,28302.5,Dsit - Psre Infrastructure Fund - Other-r & D Current Grants To Private Sector - Npish,Eh26 0pz,Grant
29/10/2024,Consultancy Expenditure,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",The Royal Institute Of Navigation,630898,44640,Dsit - Pnt Office Programme-consultancy Expenditure,Sw7 2at,Vendor
23/10/2024,R&D Current Grants To Public Corporations,Dsit - Digital And Technology Group - Dsit - Cyber Security And Digital Identity,Ukri-innovate Uk,629637,522767.81,Dsit - Cyber25 Ni-r&D Current Grants To Public Corporations,Sn2 1fl,Wga Only
15/10/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Government Office For Technology Transfer",Npl Management Ltd,626940,54969.65,Dsit - Knowledge Assets Grant Fund-r & D Current Grants To Central Government,Tw11 0lw,Vendor
21/10/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Government Office For Technology Transfer",Ukri - Natural Environment Research Council,628573,37581.4,Dsit - Knowledge Assets Grant Fund-r & D Current Grants To Central Government,Sn2 1eu,Wga Only
23/10/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Government Office For Technology Transfer",Imperial War Museum,629995,34980.13,Dsit - Knowledge Assets Grant Fund-r & D Current Grants To Central Government,Se1 6hz,Vendor
15/10/2024,Business Management Advice,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Imperial College Projects Ltd,621708,105450,Dsit - Devolved Admin-business Management Advice,Sw7 2az,Vendor
28/10/2024,Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Digital Catapult Services Ltd,630665,37433.53,Dsit - Devolved Admin-current Grants To Private Sector - Npish,Nw1 2ra,Vendor
24/10/2024,Fast Stream - Full Cost,Dsit - Corporate Services - Dsit - Human Resources,Cabinet Office,630031,241297,Dsit - Devolved Admin-faststream - Full Cost,Fy1 9jn,Wga Only
